Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
ECT,electroconvulsive therapy,电惊厥疗法,https://en.wikipedia.org/wiki/Electroconvulsive_therapy,,
ECV,external cephalic version,外头型,https://en.wikipedia.org/wiki/External_cephalic_version,,
ED,emergency department,急诊科,https://en.wikipedia.org/wiki/Emergency_department,,
ED,erectile dysfunction,勃起功能障碍,https://en.wikipedia.org/wiki/Erectile_dysfunction,,
EDACS,Eating and Drinking Ability Classification System,饮食能力分类系统,https://en.wikipedia.org/wiki/EDACS,,
EDG,endothelial differentiation gene,内皮分化基因,https://en.wikipedia.org/wiki/Lysophospholipid_receptor,,
EDL,Extensor Digitorum Longus,伸肌伸肌,https://en.wikipedia.org/wiki/Extensor_digitorum_longus_muscle,,
EDS,Eye Dryness Score,眼干分数,https://en.wikipedia.org/wiki/EDS,,
EDS,excessive daytime sleepiness,白天过度嗜睡,https://en.wikipedia.org/wiki/Excessive_daytime_sleepiness,,
EDV,end diastolic volume,舒张末期容积,https://en.wikipedia.org/wiki/End-diastolic_volume,,
EEG,electroencephalogram,脑电图,https://en.wikipedia.org/wiki/Electroencephalography,,
EES,everolimus eluting stent,依维莫司洗脱支架,https://en.wikipedia.org/wiki/EES,,
EF,ejection fraction,射血分数,https://en.wikipedia.org/wiki/Ejection_fraction,,
EFL,expiratory flow limitation,呼气流量限制,https://en.wikipedia.org/wiki/EFL,,
EFLI,expiratory flow limitation index,呼气流量限制指数,https://en.wikipedia.org/wiki/Elite_Football_League_of_India,,
EFM,electronic fetal monitoring,电子胎儿监护,https://en.wikipedia.org/wiki/Cardiotocography,,
EGA,estimated gestational age,估计胎龄,https://en.wikipedia.org/wiki/Ega,,
EGD,esophagogastroduodenoscopy,食管胃十二指肠镜,https://en.wikipedia.org/wiki/Esophagogastroduodenoscopy,,
EGFR,epidermal growth factor receptor,表皮生长因子受体,https://en.wikipedia.org/wiki/Epidermal_growth_factor_receptor,,
EGJ,esophagogastric junction,食管胃交界处,https://en.wikipedia.org/wiki/Stomach#Sections,,
EH,endolymphatic hydrops,内淋巴积液,https://en.wikipedia.org/wiki/Endolymphatic_hydrops,,
EHL,extensor halluces longus,伸肌幻觉,https://en.wikipedia.org/wiki/EHL,,
EI,endotracheal intubation,气管插管,https://en.wikipedia.org/wiki/Tracheal_intubation,,
EIA,External Iliac Artery,I骨外动脉,https://en.wikipedia.org/wiki/EIA,,
EIA,enzyme immunoassay,酶免疫测定,https://en.wikipedia.org/wiki/Enzyme_immunoassay,,
EKG,electrocardiogram,心电图,https://en.wikipedia.org/wiki/Electrocardiography,,
ELAD,extracorporeal liver support device,体外肝支持装置,,,
ELF,Enhanced Liver Fibrosis Panel,增强型肝纤维化小组,,,
ELF,endoluminal fundoplication,腔内胃底折叠术,,,
ELISA,enzyme-linked immunosorbent assays,酶联免疫吸附测定,https://en.wikipedia.org/wiki/ELISA,,
ELSO,Extracorporeal Life Support Organization,体外生命支持组织,https://en.wikipedia.org/wiki/Extracorporeal_Life_Support_Organization,,
EM,episodic migraine,发作性偏头痛,https://en.wikipedia.org/wiki/EM,,
EMDR,eye movement desensitization and reprocessing,眼动脱敏和后处理,https://en.wikipedia.org/wiki/Eye_movement_desensitization_and_reprocessing,,
EMG,electromyelogram,肌电图,https://en.wikipedia.org/wiki/EMG,,
EMR,electronic medical record,电子病历,https://en.wikipedia.org/wiki/Electronic_health_record,,
EMS,emergency medical services,紧急医疗服务,https://en.wikipedia.org/wiki/Emergency_medical_services,,
ENCODE,ENCyclopedia of DNA Elements,DNA元素百科全书,https://en.wikipedia.org/wiki/ENCODE,,
ENT,"ear, nose, throat/otolaryngology",耳，鼻，喉/耳鼻喉科,https://en.wikipedia.org/wiki/ENT,,
ENoG,Electroneurography,神经电图,,,
EOB,explanation of benefits,好处说明,https://en.wikipedia.org/wiki/Explanation_of_benefits,,
EOG,electrooculogram,眼电图,https://en.wikipedia.org/wiki/Electrooculography,,
EOL,end of life,生命尽头,https://en.wikipedia.org/wiki/End-of-life,,
EOM,extraocular muscles (movements),眼外肌（运动）,https://en.wikipedia.org/wiki/EOM,,
EP,electrophysiology,电生理学,https://en.wikipedia.org/wiki/Electrophysiology,,
EP,etoposide and cisplatin (chemotherapy),依托泊苷和顺铂（化学疗法）,https://en.wikipedia.org/wiki/EP,,
EPEC,enteropathogenic E. coli,肠致病性大肠杆菌,https://en.wikipedia.org/wiki/Pathogenic_Escherichia_coli#Virulence_properties,,
EPS,electrophysiology study,电生理研究,https://en.wikipedia.org/wiki/Electrophysiology_study,,
EPS,encapsulated peritoneal sclerosis,包膜性腹膜硬化,https://en.wikipedia.org/wiki/EPS,,
ER,emergency room,急救室,https://en.wikipedia.org/wiki/Emergency_department,,
ER,estrogen receptor,雌激素受体,https://en.wikipedia.org/wiki/Estrogen_receptor,,
ERA,endothelin receptor antagonist,内皮素受体拮抗剂,https://en.wikipedia.org/wiki/Endothelin_receptor_antagonist,,
ERAS,Early Recovery after Surgery,手术后及早康复,https://en.wikipedia.org/wiki/ERAS,,
ERCP,endoscopic retrograde cholangiopancreatography,内镜逆行胰胆管造影,https://en.wikipedia.org/wiki/Endoscopic_retrograde_cholangiopancreatography,,
ERP,Exposure with Response Prevention,暴露与反应预防,https://en.wikipedia.org/wiki/ERP,,
ERP,event-related potential,事件相关电位,https://en.wikipedia.org/wiki/Event-related_potential,,
ERV,endogenous retrovirus,内源性逆转录病毒,https://en.wikipedia.org/wiki/Endogenous_retrovirus,,
ES,epidural steroids,硬膜外类固醇,https://en.wikipedia.org/wiki/ES,,
ESBL,extended spectrum beta-lactamase,广谱β-内酰胺酶,https://en.wikipedia.org/wiki/Beta-lactamase#Extended-spectrum_beta-lactamase_.28ESBL.29,,
ESI,epidural steroid injection,硬膜外类固醇注射,https://en.wikipedia.org/wiki/Epidural_steroid_injection,,
ESLD,end stage liver disease,晚期肝病,https://en.wikipedia.org/wiki/End_stage_pulmonary_disease,,
ESR,erythrocyte sedimentation rate,红细胞沉降率,https://en.wikipedia.org/wiki/Erythrocyte_sedimentation_rate,,
ESRD,end-stage renal disease,晚期肾脏疾病,https://en.wikipedia.org/wiki/Chronic_kidney_disease#Stages,,
ESS,Epworth Sleepiness Scale,爱华氏嗜睡量表,https://en.wikipedia.org/wiki/Epworth_Sleepiness_Scale,,
ESS,endoscopic sinus surgery,内窥镜鼻窦手术,https://en.wikipedia.org/wiki/Endoscopic_endonasal_surgery,,
EST,electroshock therapy,电击疗法,https://en.wikipedia.org/wiki/Electroconvulsive_therapy,,
ESV,end systolic volume,收缩末期容积,https://en.wikipedia.org/wiki/End-systolic_volume,,
ESWL,Extracorporeal Shock Wave Lithotripsy,体外冲击波碎石术,https://en.wikipedia.org/wiki/Extracorporeal_shockwave_therapy,,
ESWT,Extracorporeal Shock Wave Therapy,体外冲击波疗法,https://en.wikipedia.org/wiki/Extracorporeal_shockwave_therapy,,
ET,endotracheal tube,气管导管,https://en.wikipedia.org/wiki/Tracheal_tube,,
ET,essential thrombocythaemia,原发性血小板增多症,https://en.wikipedia.org/wiki/Essential_thrombocythemia,,
ET,essential tremor,原发性震颤,https://en.wikipedia.org/wiki/Essential_tremor,,
ETANTR,embryonal tumors with abundant neuropil and true rosettes,具有丰富的神经绒毛和真玫瑰花结的胚胎肿瘤,,,
ETC,electron transport chain,电子传输链,https://en.wikipedia.org/wiki/Electron_transport_chain,,
ETEC,enterotoxigenic E. coli,产肠毒素大肠杆菌,https://en.wikipedia.org/wiki/ETEC,,
ETMR,embryonal tumor with multilayered rosettes,带有多层花环的胚胎肿瘤,,,
ETS,endoscopic thoracic sympathectomy,内窥镜胸交感神经切除术,https://en.wikipedia.org/wiki/Endoscopic_thoracic_sympathectomy,,
ETT,endotracheal tube,气管导管,https://en.wikipedia.org/wiki/Tracheal_tube,,
ETT,exercise tolerance test,运动耐力测试,https://en.wikipedia.org/wiki/Cardiac_stress_test,,
EUA,Exam Under Anesthesia,麻醉检查,https://en.wikipedia.org/wiki/EUA,,
EUA,emergency use authorization,紧急使用授权,https://en.wikipedia.org/wiki/Emergency_use_authorization,,
EUS,Endoscopic Ultrasound,内窥镜超声,https://en.wikipedia.org/wiki/List_of_Medknow_Publications_academic_journals#E,,
EV,extracellular vesicle,细胞外小泡,https://en.wikipedia.org/wiki/Extracellular_vesicle,,
EVAR,Endovascular Aneurysm Repair,血管内动脉瘤修复,https://en.wikipedia.org/wiki/Endovascular_aneurysm_repair,,
EVAS,Endovascular Aneurysm Sealing,血管内动脉瘤封闭,https://en.wikipedia.org/wiki/EVAS,,
EVH,Endoscopic Vein Harvest,内窥镜静脉收获,https://en.wikipedia.org/wiki/EVH,,
EVLA,endovenous laser ablation,静脉激光消融,https://en.wikipedia.org/wiki/Very_Large_Array#Past_and_future,,
Echo,echocardiogram,超声心动图,https://en.wikipedia.org/wiki/Echocardiography,,
EoE,eosinophilic esophagitis,嗜酸性食管炎,https://en.wikipedia.org/wiki/Eosinophilic_esophagitis,,
Ep-GBM,epithelioid glioblastoma,上皮样胶质母细胞瘤,,,
EtG,ethyl glucuronide,乙基葡糖醛酸,https://en.wikipedia.org/wiki/Ethyl_glucuronide,,
EtOH,alcohol,醇,https://en.wikipedia.org/wiki/Alcohol,,
EtS,ethyl sulfate,硫酸乙酯,https://en.wikipedia.org/wiki/Ethyl_sulfate,,
eGFR,Estimated Glomerular Filtration Rate,估计肾小球滤过率,https://en.wikipedia.org/wiki/Assessment_of_kidney_function,,
eSET,Elective Single Embryo Transfer,选择性单胚移植,https://en.wikipedia.org/wiki/ESET,,
